,Topics,Alpha,Beta,Coherence,Topic Diversity
467,16,0.9099999999999999,0.61,0.39021356422114917,0.9125
464,16,0.61,symmetric,0.4275085060706728,0.9125
210,8,0.01,0.01,0.40562068166782167,0.9125
214,8,0.01,symmetric,0.41222351005826985,0.9125
232,8,symmetric,0.61,0.4250518001226222,0.9125
230,8,symmetric,0.01,0.4086911856176071,0.9125
454,16,0.01,symmetric,0.4329307067742116,0.9125
217,8,0.31,0.61,0.42323788382989597,0.9125
215,8,0.31,0.01,0.4090937362041387,0.9125
509,17,asymmetric,symmetric,0.4389048580550666,0.9117647058823529
506,17,asymmetric,0.31,0.420642862112345,0.9117647058823529
499,17,0.9099999999999999,symmetric,0.4346150884825151,0.9117647058823529
504,17,symmetric,symmetric,0.4163415214390942,0.9117647058823529
524,18,0.61,symmetric,0.4353566429003228,0.9111111111111111
253,9,0.61,0.9099999999999999,0.4102087295745185,0.9111111111111111
258,9,0.9099999999999999,0.9099999999999999,0.42137812558396104,0.9111111111111111
266,9,asymmetric,0.31,0.4052636240296524,0.9111111111111111
556,19,0.9099999999999999,0.31,0.4352752335426149,0.9105263157894737
547,19,0.31,0.61,0.4651823255752487,0.9105263157894737
562,19,symmetric,0.61,0.44865523527943385,0.9105263157894737
541,19,0.01,0.31,0.455484381681749,0.9105263157894737
557,19,0.9099999999999999,0.61,0.42890468515264574,0.9105263157894737
279,10,0.31,symmetric,0.4131297249999908,0.91
580,20,0.61,0.01,0.4272814008963673,0.91
294,10,symmetric,symmetric,0.4078622852610502,0.91
299,10,asymmetric,symmetric,0.40876306042716753,0.91
274,10,0.01,symmetric,0.40978757397016585,0.91
595,20,asymmetric,0.01,0.4246676594090231,0.91
579,20,0.31,symmetric,0.4276641952669438,0.91
301,11,0.01,0.31,0.41073095771379914,0.9090909090909091
302,11,0.01,0.61,0.4440785037009816,0.9090909090909091
357,12,asymmetric,0.61,0.3958162571108412,0.9083333333333333
335,12,0.31,0.01,0.45313451205948097,0.9083333333333333
350,12,symmetric,0.01,0.4567685570339058,0.9083333333333333
342,12,0.61,0.61,0.4059111513851803,0.9083333333333333
354,12,symmetric,symmetric,0.44249647080473764,0.9083333333333333
368,13,0.31,0.9099999999999999,0.4687578231255223,0.9076923076923077
370,13,0.61,0.01,0.44007795560311863,0.9076923076923077
419,14,asymmetric,symmetric,0.4188464886466173,0.9071428571428571
432,15,0.61,0.61,0.4298726214169087,0.9066666666666666
424,15,0.01,symmetric,0.4393671183999718,0.9066666666666666
423,15,0.01,0.9099999999999999,0.4436451483749472,0.9066666666666666
421,15,0.01,0.31,0.4630209474565264,0.9066666666666666
442,15,symmetric,0.61,0.4633347072697599,0.9066666666666666
455,16,0.31,0.01,0.4286401321158356,0.90625
451,16,0.01,0.31,0.4271357571403318,0.90625
459,16,0.31,symmetric,0.40935337191992394,0.90625
460,16,0.61,0.01,0.43480358506000744,0.90625
461,16,0.61,0.31,0.4339198033717029,0.90625
485,17,0.31,0.01,0.4359425374370782,0.9058823529411765
497,17,0.9099999999999999,0.61,0.412142239170588,0.9058823529411765
491,17,0.61,0.31,0.42134594897160527,0.9058823529411765
489,17,0.31,symmetric,0.43776963772997435,0.9058823529411765
536,18,asymmetric,0.31,0.4312715836606961,0.9055555555555556
552,19,0.61,0.61,0.4370088755735812,0.9052631578947369
546,19,0.31,0.31,0.4746513172005593,0.9052631578947369
561,19,symmetric,0.31,0.446259167540865,0.9052631578947369
564,19,symmetric,symmetric,0.436079971027909,0.9052631578947369
576,20,0.31,0.31,0.43508768993449776,0.905
594,20,symmetric,symmetric,0.40977884697249917,0.905
570,20,0.01,0.01,0.42861347015677176,0.905
448,15,asymmetric,0.9099999999999999,0.45575194765317006,0.9
492,17,0.61,0.61,0.4176674472234522,0.9
449,15,asymmetric,symmetric,0.42269729250085347,0.9
549,19,0.31,symmetric,0.42465617831000696,0.9
252,9,0.61,0.61,0.4143074038085149,0.9
356,12,asymmetric,0.31,0.3882555110153368,0.9
501,17,symmetric,0.31,0.4304132158869412,0.9
446,15,asymmetric,0.31,0.45614017780260724,0.9
598,20,asymmetric,0.9099999999999999,0.48445700230372807,0.9
351,12,symmetric,0.31,0.4446158135854425,0.9
233,8,symmetric,0.9099999999999999,0.418726846659751,0.9
237,8,asymmetric,0.61,0.42335173784329583,0.9
257,9,0.9099999999999999,0.61,0.4223107349840915,0.9
559,19,0.9099999999999999,symmetric,0.4400658238155941,0.9
599,20,asymmetric,symmetric,0.425474607741287,0.9
474,16,symmetric,symmetric,0.4412706444810128,0.9
484,17,0.01,symmetric,0.42282599325433523,0.9
516,18,0.31,0.31,0.4299327254002818,0.9
336,12,0.31,0.31,0.4121389499449674,0.9
431,15,0.61,0.31,0.42707861535067776,0.9
231,8,symmetric,0.31,0.4239739248352389,0.9
331,12,0.01,0.31,0.43930121347683143,0.9
502,17,symmetric,0.61,0.4281515125826364,0.9
456,16,0.31,0.31,0.4245097075015789,0.9
212,8,0.01,0.61,0.42735385474391013,0.9
526,18,0.9099999999999999,0.31,0.41029844436471746,0.9
503,17,symmetric,0.9099999999999999,0.4405483072029647,0.9
282,10,0.61,0.61,0.40509355846309336,0.9
445,15,asymmetric,0.01,0.4146977002378476,0.9
531,18,symmetric,0.31,0.4398476773014192,0.9
507,17,asymmetric,0.61,0.4251138673212905,0.9
211,8,0.01,0.31,0.42883526016435997,0.9
586,20,0.9099999999999999,0.31,0.4026055234441456,0.895
584,20,0.61,symmetric,0.4206007807596377,0.895
596,20,asymmetric,0.31,0.45220084005311845,0.895
560,19,symmetric,0.01,0.4406579528163713,0.8947368421052632
520,18,0.61,0.01,0.4265191708581798,0.8944444444444445
481,17,0.01,0.31,0.4241597495327164,0.8941176470588236
482,17,0.01,0.61,0.4271544712763522,0.8941176470588236
465,16,0.9099999999999999,0.01,0.4521003200528598,0.89375
471,16,symmetric,0.31,0.42102499229999857,0.89375
440,15,symmetric,0.01,0.4444508709853704,0.8933333333333333
439,15,0.9099999999999999,symmetric,0.40454894188551643,0.8933333333333333
429,15,0.31,symmetric,0.44005479346381826,0.8933333333333333
428,15,0.31,0.9099999999999999,0.44802134213075584,0.8933333333333333
330,12,0.01,0.01,0.4518460588303243,0.8916666666666667
571,20,0.01,0.31,0.42218012101988406,0.89
278,10,0.31,0.9099999999999999,0.4300437940050834,0.89
545,19,0.31,0.01,0.4225860323722736,0.8894736842105263
487,17,0.31,0.61,0.4340447302938985,0.888235294117647
213,8,0.01,0.9099999999999999,0.4236219425438881,0.8875
216,8,0.31,0.31,0.42872949348146794,0.8875
238,8,asymmetric,0.9099999999999999,0.42910957339450084,0.8875
234,8,symmetric,symmetric,0.40141657937387637,0.8875
476,16,asymmetric,0.31,0.44049305654450954,0.8875
425,15,0.31,0.01,0.4466954226013087,0.8866666666666667
427,15,0.31,0.61,0.4399364691878773,0.8866666666666667
581,20,0.61,0.31,0.4170414481574093,0.885
533,18,symmetric,0.9099999999999999,0.4697537660300075,0.8833333333333333
505,17,asymmetric,0.01,0.4361237407131168,0.8823529411764706
488,17,0.31,0.9099999999999999,0.44425134378237763,0.8823529411764706
486,17,0.31,0.31,0.45217407661664155,0.8823529411764706
469,16,0.9099999999999999,symmetric,0.44524312260285703,0.88125
513,18,0.01,0.9099999999999999,0.47769893292766485,0.8777777777777778
500,17,symmetric,0.01,0.42107784664562153,0.8764705882352941
483,17,0.01,0.9099999999999999,0.4153317650268586,0.8764705882352941
478,16,asymmetric,0.9099999999999999,0.4559585828961217,0.875
218,8,0.31,0.9099999999999999,0.4093559903693962,0.875
543,19,0.01,0.9099999999999999,0.450212033112834,0.8736842105263158
542,19,0.01,0.61,0.4445390793949594,0.8736842105263158
578,20,0.31,0.9099999999999999,0.4431207584549104,0.865
480,17,0.01,0.01,0.4203462198719284,0.8647058823529412
567,19,asymmetric,0.61,0.4589436023776521,0.8631578947368421
593,20,symmetric,0.9099999999999999,0.4613480007069698,0.85
553,19,0.61,0.9099999999999999,0.42495536841934856,0.8473684210526315
573,20,0.01,0.9099999999999999,0.4587233606931929,0.84
548,19,0.31,0.9099999999999999,0.4378994068235758,0.8368421052631579
568,19,asymmetric,0.9099999999999999,0.4627064543616671,0.8210526315789474
563,19,symmetric,0.9099999999999999,0.4349712690334751,0.8157894736842105
