,Topics,Alpha,Beta,Coherence,Topic Diversity
453,16,0.01,0.9099999999999999,0.44361646089346823,0.9625
229,8,0.9099999999999999,symmetric,0.4420850201896721,0.9625
224,8,0.61,symmetric,0.4280657208485706,0.9625
129,5,0.31,symmetric,0.3831505620988455,0.96
149,5,asymmetric,symmetric,0.3773937456416251,0.96
120,5,0.01,0.01,0.3776330704980433,0.96
131,5,0.61,0.31,0.39038280316699164,0.96
135,5,0.9099999999999999,0.01,0.40918786118128,0.96
147,5,asymmetric,0.61,0.414505560109383,0.96
136,5,0.9099999999999999,0.31,0.3890522598686923,0.96
138,5,0.9099999999999999,0.9099999999999999,0.41422040462573584,0.96
137,5,0.9099999999999999,0.61,0.41611864668313253,0.96
146,5,asymmetric,0.31,0.39897638622464376,0.96
184,7,0.01,symmetric,0.4026196083269353,0.9571428571428572
404,14,0.61,symmetric,0.4218391642385968,0.9571428571428572
408,14,0.9099999999999999,0.9099999999999999,0.4162851964093152,0.9571428571428572
189,7,0.31,symmetric,0.4070262847438943,0.9571428571428572
195,7,0.9099999999999999,0.01,0.4182149587764766,0.9571428571428572
402,14,0.61,0.61,0.4595181383756656,0.9571428571428572
473,16,symmetric,0.9099999999999999,0.4387150616630914,0.95625
458,16,0.31,0.9099999999999999,0.45145587970208323,0.95625
245,9,0.31,0.01,0.4318458159252153,0.9555555555555556
259,9,0.9099999999999999,symmetric,0.4157353278087655,0.9555555555555556
264,9,symmetric,symmetric,0.41650305474147364,0.9555555555555556
240,9,0.01,0.01,0.42439835874095194,0.9555555555555556
269,9,asymmetric,symmetric,0.4257543739982467,0.9555555555555556
267,9,asymmetric,0.61,0.40686574413136695,0.9555555555555556
325,11,asymmetric,0.01,0.39769634519956937,0.9545454545454546
304,11,0.01,symmetric,0.41283349640421824,0.9545454545454546
329,11,asymmetric,symmetric,0.40166200906078386,0.9545454545454546
386,13,asymmetric,0.31,0.45461211107732846,0.9538461538461539
43,2,0.61,0.9099999999999999,0.29989251860960786,0.95
44,2,0.61,symmetric,0.3055904581006617,0.95
45,2,0.9099999999999999,0.01,0.31751431171916,0.95
46,2,0.9099999999999999,0.31,0.30607721659239767,0.95
47,2,0.9099999999999999,0.61,0.29223428688039665,0.95
171,6,symmetric,0.31,0.38999286189751015,0.95
48,2,0.9099999999999999,0.9099999999999999,0.29989251860960786,0.95
49,2,0.9099999999999999,symmetric,0.29700451921045296,0.95
50,2,symmetric,0.01,0.31751431171915995,0.95
51,2,symmetric,0.31,0.3083360341118654,0.95
52,2,symmetric,0.61,0.29989251860960786,0.95
53,2,symmetric,0.9099999999999999,0.29989251860960786,0.95
177,6,asymmetric,0.61,0.3985420151039966,0.95
97,4,0.31,0.61,0.40830529615432687,0.95
42,2,0.61,0.61,0.29989251860960786,0.95
463,16,0.61,0.9099999999999999,0.41363533415317044,0.95
589,20,0.9099999999999999,symmetric,0.4390927279785911,0.95
98,4,0.31,0.9099999999999999,0.40830529615432687,0.95
35,2,0.31,0.01,0.3171314734899274,0.95
36,2,0.31,0.31,0.3106430543177396,0.95
344,12,0.61,symmetric,0.44178919422545815,0.95
37,2,0.31,0.61,0.30565586062855826,0.95
518,18,0.31,0.9099999999999999,0.4495237692614227,0.95
34,2,0.01,symmetric,0.3221803096517998,0.95
41,2,0.61,0.31,0.3060772165923976,0.95
38,2,0.31,0.9099999999999999,0.31253259381396037,0.95
31,2,0.01,0.31,0.30516722622430337,0.95
239,8,asymmetric,symmetric,0.4013215770177069,0.95
39,2,0.31,symmetric,0.3060772165923976,0.95
54,2,symmetric,symmetric,0.3060772165923976,0.95
393,14,0.01,0.9099999999999999,0.43301934178689955,0.95
40,2,0.61,0.01,0.31751431171915995,0.95
164,6,0.61,symmetric,0.4185003380417572,0.95
91,4,0.01,0.31,0.40853515112860084,0.95
162,6,0.61,0.61,0.41636291698032357,0.95
109,4,0.9099999999999999,symmetric,0.4079944302551002,0.95
118,4,asymmetric,0.9099999999999999,0.4099264884549941,0.95
117,4,asymmetric,0.61,0.41043165554378114,0.95
116,4,asymmetric,0.31,0.4056674779077374,0.95
115,4,asymmetric,0.01,0.4026746026595704,0.95
114,4,symmetric,symmetric,0.40933070138962746,0.95
113,4,symmetric,0.9099999999999999,0.40830529615432687,0.95
112,4,symmetric,0.61,0.40830529615432687,0.95
111,4,symmetric,0.31,0.40703798096500965,0.95
110,4,symmetric,0.01,0.40583577676374216,0.95
108,4,0.9099999999999999,0.9099999999999999,0.4120323525710732,0.95
284,10,0.61,symmetric,0.4256538959069941,0.95
107,4,0.9099999999999999,0.61,0.4079944302551002,0.95
106,4,0.9099999999999999,0.31,0.4079944302551002,0.95
105,4,0.9099999999999999,0.01,0.3977206247062194,0.95
104,4,0.61,symmetric,0.40933070138962746,0.95
103,4,0.61,0.9099999999999999,0.4141095640854609,0.95
