Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
7,0.9099999999999999,0.01,0.3620313167099097,0.9857142857142858,0.356859440756911
7,0.9099999999999999,symmetric,0.3612527608682044,0.9857142857142858,0.3560920071415158
7,asymmetric,symmetric,0.37587229737117595,0.9428571428571428,0.3543938803785373
7,0.31,symmetric,0.36341025563464013,0.9714285714285714,0.3530271054736504
7,0.9099999999999999,0.9099999999999999,0.35731278990313736,0.9857142857142858,0.3522083214759497
7,0.61,0.01,0.35445137932480064,0.9857142857142858,0.3493877881915892
7,0.31,0.61,0.35888838595266387,0.9714285714285714,0.348634432068302
7,0.31,0.31,0.36415064374681194,0.9571428571428572,0.3485441875862343
7,0.61,0.61,0.3585587989864925,0.9714285714285714,0.34831426187259273
7,asymmetric,0.01,0.3632086797209732,0.9571428571428572,0.3476425934472172
7,0.61,0.9099999999999999,0.35719039263349167,0.9714285714285714,0.34698495284396336
7,0.61,symmetric,0.3517440986320926,0.9857142857142858,0.34671918293734844
7,0.01,0.31,0.3620428544127289,0.9571428571428572,0.3465267320807548
7,symmetric,0.61,0.35888838595266387,0.9571428571428572,0.34350745512612113
7,symmetric,0.31,0.35865812968065647,0.9571428571428572,0.3432870669800569
7,0.31,0.01,0.3532294657873925,0.9714285714285714,0.34313719533632414
7,0.61,0.31,0.3584222521447161,0.9571428571428572,0.3430612984813712
7,0.9099999999999999,0.61,0.3530111324392858,0.9714285714285714,0.3429251000838776
7,symmetric,0.01,0.3528632799235738,0.9714285714285714,0.3427814719257574
7,0.31,0.9099999999999999,0.35246696136270345,0.9714285714285714,0.3423964767523405
7,0.9099999999999999,0.31,0.3617162596104135,0.9428571428571428,0.341046759061247
7,0.01,symmetric,0.36673043345731354,0.9285714285714286,0.3405354024960769
7,symmetric,symmetric,0.3534758853226076,0.9571428571428572,0.3383269188087816
7,0.01,0.61,0.353445380120367,0.9571428571428572,0.33829772097235133
7,0.01,0.01,0.3501389957647399,0.9571428571428572,0.3351330388033939
7,asymmetric,0.31,0.36062437895729216,0.9285714285714286,0.33486549474605704
7,asymmetric,0.9099999999999999,0.3493376677410308,0.9571428571428572,0.33436605340927233
7,asymmetric,0.61,0.35170314804874103,0.9428571428571428,0.3316058253030987
5,asymmetric,symmetric,0.32740708452184036,0.98,0.32085894283140354
7,0.01,0.9099999999999999,0.35087595663008864,0.9142857142857143,0.3208008746332239
5,asymmetric,0.01,0.3266220915006826,0.98,0.32008964967066894
7,symmetric,0.9099999999999999,0.3500624900072373,0.9142857142857143,0.32005713372090266
15,0.31,0.01,0.35359351330081873,0.9,0.31823416197073684
9,0.9099999999999999,0.31,0.34353450734680696,0.9222222222222223,0.3168151567753887
4,asymmetric,0.01,0.3164502403119039,1.0,0.3164502403119039
4,asymmetric,0.61,0.31645024031190383,1.0,0.31645024031190383
13,0.61,symmetric,0.34742117334133016,0.9076923076923077,0.31535152657136123
9,0.9099999999999999,symmetric,0.3408369527120453,0.9222222222222223,0.3143274119455529
13,0.9099999999999999,0.01,0.33986884974443854,0.9230769230769231,0.31372509207178945
8,0.61,0.31,0.33832210119727935,0.925,0.3129479436074834
4,asymmetric,0.9099999999999999,0.31285699327610095,1.0,0.31285699327610095
13,0.9099999999999999,symmetric,0.34771753511957465,0.8923076923076924,0.31027103133746664
15,0.61,symmetric,0.3551007137256695,0.8733333333333333,0.31012128998708466
4,0.61,0.9099999999999999,0.3096949973103137,1.0,0.3096949973103137
9,symmetric,symmetric,0.3354425246626244,0.9222222222222223,0.30935255052219807
8,0.31,symmetric,0.32974674706377294,0.9375,0.30913757537228714
9,0.01,0.9099999999999999,0.34313363759569415,0.9,0.30882027383612476
9,symmetric,0.9099999999999999,0.34313363759569415,0.9,0.30882027383612476
9,0.9099999999999999,0.61,0.33807517245539,0.9111111111111111,0.30802404601491085
15,0.61,0.01,0.3580545287545166,0.86,0.3079268947288843
8,0.31,0.01,0.3326706307704192,0.925,0.3077203334626378
9,0.01,0.01,0.34159328608238837,0.9,0.30743395747414953
15,symmetric,0.01,0.3440617234086612,0.8933333333333333,0.30736180624507065
9,0.31,symmetric,0.3369811831206328,0.9111111111111111,0.30702730017657653
5,0.9099999999999999,0.01,0.30702722811061656,1.0,0.30702722811061656
9,asymmetric,0.9099999999999999,0.3491374660665641,0.8777777777777778,0.30646510910287295
4,0.01,symmetric,0.30642025031795206,1.0,0.30642025031795206
4,0.01,0.31,0.30642025031795206,1.0,0.30642025031795206
15,0.9099999999999999,0.01,0.3508283824501762,0.8733333333333333,0.3063901206731539
8,symmetric,symmetric,0.3310977378655886,0.925,0.3062654075256695
5,0.01,0.9099999999999999,0.31880370588793017,0.96,0.30605155765241293
10,0.61,0.61,0.33604692029309985,0.91,0.3058026974667209
8,0.31,0.31,0.3349240122584855,0.9125,0.30561816118586804
12,0.31,0.9099999999999999,0.3459652331210446,0.8833333333333333,0.30560262259025606
9,0.61,symmetric,0.3394411918335096,0.9,0.3054970726501587
9,0.61,0.31,0.3393135844692628,0.9,0.3053822260223365
12,0.61,0.61,0.35231657022831336,0.8666666666666667,0.3053410275312049
13,0.61,0.01,0.33864711119846524,0.9,0.30478240007861873
8,0.31,0.61,0.33770398961205683,0.9,0.3039335906508512
5,0.31,0.01,0.3100310111418067,0.98,0.30383039091897057
12,0.9099999999999999,0.61,0.353954431026301,0.8583333333333333,0.30381088663090833
4,0.01,0.01,0.30369886843455607,1.0,0.30369886843455607
9,symmetric,0.01,0.3415932860823883,0.8888888888888888,0.3036384765176785
8,0.01,0.31,0.3373604561783251,0.9,0.3036244105604926
8,symmetric,0.31,0.33248145908981386,0.9125,0.3033893314194551
12,0.61,0.9099999999999999,0.3434234216283965,0.8833333333333333,0.3033573557717502
15,asymmetric,0.01,0.3471569281293485,0.8733333333333333,0.30318371723296433
5,asymmetric,0.31,0.3092228648123353,0.98,0.30303840751608857
12,0.9099999999999999,0.31,0.3529867545808971,0.8583333333333333,0.3029802976819367
8,asymmetric,0.61,0.3364819095410233,0.9,0.302833718586921
4,asymmetric,symmetric,0.30268286577826947,1.0,0.30268286577826947
4,asymmetric,0.31,0.30268286577826947,1.0,0.30268286577826947
12,0.31,0.61,0.3489526836223196,0.8666666666666667,0.30242565913934366
10,0.61,0.31,0.33976261340302577,0.89,0.3023887259286929
5,symmetric,0.9099999999999999,0.31470957162201785,0.96,0.3021211887571371
5,0.01,symmetric,0.3081338515296325,0.98,0.3019711744990399
8,0.9099999999999999,symmetric,0.32592453223639056,0.925,0.3014801923186613
8,0.61,symmetric,0.32100522953666366,0.9375,0.30094240269062217
8,0.01,0.01,0.3297530298389895,0.9125,0.30089963972807793
5,0.61,0.01,0.306932528132006,0.98,0.3007938775693659
8,symmetric,0.61,0.3388777554508939,0.8875,0.3007540079626683
10,0.61,symmetric,0.33720808880635156,0.89,0.3001151990376529
9,0.61,0.01,0.32934961062229307,0.9111111111111111,0.30007408967808924
5,asymmetric,0.9099999999999999,0.31255514649108473,0.96,0.30005294063144133
10,0.61,0.01,0.33283708299795867,0.9,0.2995533746981628
9,0.31,0.01,0.3369905714813858,0.8888888888888888,0.29954717465012065
5,symmetric,0.01,0.3054143799296304,0.98,0.2993060923310378
8,symmetric,0.01,0.32737040880167423,0.9125,0.2987254980315277
9,asymmetric,0.01,0.3360627285603941,0.8888888888888888,0.29872242538701693
5,0.31,0.61,0.3111401911874975,0.96,0.29869458353999756
8,asymmetric,0.31,0.32733263801565937,0.9125,0.29869103218928916
5,asymmetric,0.61,0.3111268733770796,0.96,0.29868179844199644
8,0.9099999999999999,0.01,0.3184675411934286,0.9375,0.2985633198688393
12,0.31,symmetric,0.3444237046591944,0.8666666666666667,0.2985005440379685
8,0.61,0.01,0.32263372044936,0.925,0.298436191415658
5,symmetric,0.61,0.3108363982891231,0.96,0.29840294235755815
8,asymmetric,0.9099999999999999,0.3315433483022726,0.9,0.2983890134720454
5,0.01,0.61,0.31064486790294976,0.96,0.2982190731868318
9,0.9099999999999999,0.9099999999999999,0.33543583112847036,0.8888888888888888,0.298165183225307
16,asymmetric,0.01,0.34056992815309683,0.875,0.2979986871339597
9,0.01,symmetric,0.3305961100009783,0.9,0.2975364990008805
6,asymmetric,0.9099999999999999,0.3076342074773241,0.9666666666666667,0.29737973389474665
20,0.31,0.01,0.33979641661569915,0.875,0.29732186453873677
8,0.9099999999999999,0.31,0.32571746572060606,0.9125,0.29721718747005305
12,0.31,0.01,0.3426277880321081,0.8666666666666667,0.29694408296116037
15,0.9099999999999999,symmetric,0.3507169943409092,0.8466666666666667,0.2969403885419698
9,0.01,0.31,0.3340460784826818,0.8888888888888888,0.2969298475401616
9,0.61,0.61,0.33825563927551916,0.8777777777777778,0.2969132833640668
9,0.9099999999999999,0.01,0.3296609053212459,0.9,0.29669481478912135
12,0.9099999999999999,0.9099999999999999,0.33895825274872315,0.875,0.29658847115513276
9,0.01,0.61,0.3330650576741323,0.8888888888888888,0.2960578290436731
5,0.01,0.01,0.3082562649259748,0.96,0.2959260143289358
19,0.31,symmetric,0.33862500094184333,0.8736842105263158,0.29585131661234737
9,asymmetric,symmetric,0.3370296780743767,0.8777777777777778,0.29583716186528625
15,symmetric,symmetric,0.3466782644962871,0.8533333333333334,0.29583211903683165
5,symmetric,symmetric,0.30813385152963263,0.96,0.29580849746844734
5,0.01,0.31,0.3081338515296325,0.96,0.29580849746844723
4,0.01,0.61,0.29557808884668474,1.0,0.29557808884668474
20,0.01,0.01,0.3397385621081123,0.87,0.2955725490340577
4,0.61,symmetric,0.29545761522068403,1.0,0.29545761522068403
4,0.61,0.31,0.29545761522068403,1.0,0.29545761522068403
4,0.9099999999999999,0.61,0.29545761522068403,1.0,0.29545761522068403
4,0.9099999999999999,symmetric,0.29545761522068403,1.0,0.29545761522068403
4,0.9099999999999999,0.31,0.29545761522068403,1.0,0.29545761522068403
4,0.61,0.01,0.29545761522068403,1.0,0.29545761522068403
4,0.9099999999999999,0.01,0.29545761522068403,1.0,0.29545761522068403
17,0.31,0.01,0.3259636905319214,0.9058823529411765,0.2952847549524465
13,0.61,0.31,0.33074653877265664,0.8923076923076924,0.29512768075098594
9,asymmetric,0.61,0.3405166293993396,0.8666666666666667,0.2951144121460943
18,symmetric,0.01,0.3258010748775936,0.9055555555555556,0.2950309733613764
4,0.01,0.9099999999999999,0.2950268772149934,1.0,0.2950268772149934
16,0.01,0.01,0.3370476781046027,0.875,0.29491671834152733
12,asymmetric,0.01,0.33693239229880384,0.875,0.2948158432614534
4,0.31,symmetric,0.29462063948120976,1.0,0.29462063948120976
4,0.31,0.9099999999999999,0.29462063948120976,1.0,0.29462063948120976
4,0.31,0.31,0.29462063948120976,1.0,0.29462063948120976
4,0.31,0.61,0.29462063948120976,1.0,0.29462063948120976
4,0.31,0.01,0.29462063948120976,1.0,0.29462063948120976
4,0.61,0.61,0.29462063948120976,1.0,0.29462063948120976
4,symmetric,0.31,0.29462063948120976,1.0,0.29462063948120976
4,symmetric,symmetric,0.29462063948120976,1.0,0.29462063948120976
4,symmetric,0.9099999999999999,0.29462063948120976,1.0,0.29462063948120976
4,symmetric,0.61,0.29462063948120976,1.0,0.29462063948120976
