Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
15,0.31,0.9099999999999999,0.3798282879050751,0.9066666666666666,0.3443776477006014
16,0.9099999999999999,0.9099999999999999,0.37935028864738846,0.89375,0.33904432047860344
15,0.61,0.61,0.37201711757083267,0.8933333333333333,0.3323352916966105
17,asymmetric,0.9099999999999999,0.3788098682848893,0.8764705882352941,0.3320157080849912
15,0.9099999999999999,0.61,0.3804261037885227,0.8666666666666667,0.32970262328338634
15,0.61,0.9099999999999999,0.38307812451202233,0.86,0.3294471870803392
15,asymmetric,0.9099999999999999,0.38892228636906634,0.8466666666666667,0.32928753579247616
18,0.9099999999999999,symmetric,0.3631705180471492,0.9055555555555556,0.3288710802315851
18,0.9099999999999999,0.9099999999999999,0.3927410519496232,0.8277777777777777,0.32510231522496585
13,symmetric,0.9099999999999999,0.35399616214820334,0.9153846153846154,0.324042640735663
15,asymmetric,symmetric,0.3654952315027565,0.88,0.32163580372242573
15,symmetric,0.9099999999999999,0.3610869755285163,0.8866666666666667,0.3201637849686178
15,0.01,0.9099999999999999,0.36286455688151587,0.88,0.319320810055734
18,0.9099999999999999,0.01,0.36127288938779506,0.8833333333333333,0.31912438562588563
17,0.31,0.31,0.35828901227941806,0.888235294117647,0.31824494620113014
15,0.31,0.61,0.36151178006900114,0.88,0.318130366460721
14,0.31,0.9099999999999999,0.3398436677298381,0.9357142857142857,0.3179965748043485
13,0.61,0.9099999999999999,0.3413887356499096,0.9307692307692308,0.31775413087414667
14,0.61,0.9099999999999999,0.33699830015372945,0.9428571428571428,0.3177412544306592
15,0.61,symmetric,0.3578249123305601,0.8866666666666667,0.31727142226642996
17,symmetric,0.9099999999999999,0.37553611852136326,0.8411764705882353,0.3158921467562056
16,0.61,symmetric,0.3458836605425605,0.9125,0.3156188402450864
11,asymmetric,0.9099999999999999,0.35033301416931883,0.9,0.31529971275238694
17,0.61,0.31,0.3522384075465248,0.8941176470588236,0.3149425761592457
16,symmetric,0.9099999999999999,0.3674389840139774,0.85625,0.31461963006196814
15,0.9099999999999999,0.9099999999999999,0.38311995687265005,0.82,0.314158364635573
19,0.9099999999999999,0.31,0.34875748056390365,0.9,0.3138817325075133
13,0.31,0.61,0.34833571459936513,0.9,0.31350214313942865
20,symmetric,0.9099999999999999,0.3941015965791589,0.795,0.31331076928043133
11,0.9099999999999999,0.9099999999999999,0.34110717739075985,0.9181818181818182,0.31319840833151585
