Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
9,0.01,0.9099999999999999,0.37940282011400844,0.9666666666666667,0.3667560594435415
9,symmetric,0.9099999999999999,0.3723354168711927,0.9666666666666667,0.3599242363088196
13,0.31,0.9099999999999999,0.4356203143311773,0.823076923076923,0.3585490279495075
9,0.9099999999999999,0.9099999999999999,0.38407581003228747,0.9333333333333333,0.35847075603013495
9,asymmetric,0.9099999999999999,0.36987109996125267,0.9666666666666667,0.35754206329587757
9,0.31,0.9099999999999999,0.3736872850409259,0.9444444444444444,0.35292688031643
10,0.01,0.9099999999999999,0.373144779845355,0.94,0.3507560930546337
9,0.61,0.9099999999999999,0.37229480738212567,0.9333333333333333,0.34747515355665065
10,symmetric,0.9099999999999999,0.3637206604808048,0.94,0.3418974208519565
10,asymmetric,0.9099999999999999,0.3573803889354902,0.95,0.33951136948871563
10,0.9099999999999999,0.9099999999999999,0.35578081543718887,0.94,0.3344339665109575
6,asymmetric,0.9099999999999999,0.35084502512329835,0.95,0.3333027738671334
10,0.61,0.9099999999999999,0.35246954002327036,0.94,0.33132136762187414
6,0.01,0.9099999999999999,0.3536429849067992,0.9333333333333333,0.3300667859130126
10,0.31,0.9099999999999999,0.35106188748412626,0.94,0.32999817423507866
13,0.61,0.61,0.41631310769403895,0.7923076923076923,0.3298480776345078
13,0.31,0.61,0.41390781897741213,0.7923076923076923,0.32794234888210344
12,0.61,0.61,0.33728958879463833,0.9666666666666667,0.3260466025014837
6,symmetric,0.9099999999999999,0.34915032039525196,0.9333333333333333,0.3258736323689018
13,symmetric,0.9099999999999999,0.4259414476924083,0.7615384615384615,0.3243707947811417
12,symmetric,0.61,0.33549721394831433,0.9666666666666667,0.32431397348337054
6,0.31,0.9099999999999999,0.34726615265242206,0.9333333333333333,0.32411507580892723
12,0.31,0.61,0.3372493427792314,0.9583333333333334,0.3231972868300968
12,0.01,0.61,0.3319523149659479,0.9666666666666667,0.32088723780041634
12,0.9099999999999999,0.61,0.329026543358196,0.9666666666666667,0.3180589919129228
12,asymmetric,0.61,0.3276610487962933,0.9583333333333334,0.3140085050964478
14,asymmetric,0.61,0.38520767832896247,0.8142857142857143,0.3136691094964409
11,0.9099999999999999,0.61,0.3284628018651791,0.9545454545454546,0.31353267450767097
6,0.61,0.9099999999999999,0.3410028848555174,0.9166666666666666,0.31258597778422426
5,0.9099999999999999,0.9099999999999999,0.34714558317696476,0.9,0.31243102485926827
13,asymmetric,0.61,0.40366878891226726,0.7692307692307693,0.31051445300943636
11,0.31,0.9099999999999999,0.3584317202817424,0.8636363636363636,0.30955466751605026
8,0.9099999999999999,0.9099999999999999,0.32571939289777446,0.95,0.3094334232528857
8,0.9099999999999999,0.61,0.3390262305951287,0.9125,0.30936143541805494
8,0.61,0.61,0.3374415189099898,0.9125,0.30791538600536567
11,symmetric,0.9099999999999999,0.32459796178551276,0.9454545454545454,0.3068926184153939
9,asymmetric,0.61,0.3359321255270331,0.9111111111111111,0.30607149214685236
7,asymmetric,0.9099999999999999,0.32451474510817363,0.9428571428571428,0.3059710453877066
6,0.9099999999999999,0.9099999999999999,0.33938410960567017,0.9,0.3054456986451032
12,0.9099999999999999,0.9099999999999999,0.3847263178360015,0.7916666666666666,0.3045750016201678
8,0.31,0.9099999999999999,0.32485785177464216,0.9375,0.304554236038727
9,0.61,0.61,0.3261522561963408,0.9333333333333333,0.3044087724499181
5,0.01,0.9099999999999999,0.33728486265155355,0.9,0.3035563763863982
8,asymmetric,0.61,0.33259967114269606,0.9125,0.3034971999177101
13,asymmetric,0.9099999999999999,0.4017062872071998,0.7538461538461538,0.302824739586966
8,asymmetric,0.9099999999999999,0.31840404977258197,0.95,0.30248384728395283
10,0.01,0.61,0.31796549645384947,0.95,0.30206722163115696
7,0.9099999999999999,0.9099999999999999,0.32029746461753517,0.9428571428571428,0.301994752353676
13,0.01,0.61,0.4045457581260135,0.7461538461538462,0.30185337337094853
10,symmetric,0.61,0.31754617523859097,0.95,0.3016688664766614
8,symmetric,0.9099999999999999,0.3242503406839278,0.925,0.2999315651326332
18,asymmetric,0.61,0.4028623733609528,0.7444444444444445,0.2999086557242649
5,0.61,0.9099999999999999,0.3331365089741173,0.9,0.29982285807670556
5,0.31,0.9099999999999999,0.3330568066112317,0.9,0.29975112595010855
5,symmetric,0.9099999999999999,0.3330568066112317,0.9,0.29975112595010855
9,0.01,0.61,0.3206706768977454,0.9333333333333333,0.29929263177122906
8,0.31,0.61,0.3314865787311975,0.9,0.29833792085807775
8,0.01,0.9099999999999999,0.3223670437192513,0.925,0.2981895154403075
8,0.61,0.9099999999999999,0.3179907350424301,0.9375,0.2981163141022782
13,symmetric,0.61,0.40271167909289757,0.7384615384615385,0.29738708609937053
9,0.9099999999999999,0.61,0.32957169435549505,0.9,0.29661452491994555
10,asymmetric,0.61,0.31530773775598,0.94,0.29638927349062116
8,symmetric,0.61,0.32907492238656555,0.9,0.296167430147909
13,0.01,0.9099999999999999,0.4271393933311003,0.6923076923076923,0.29571188769076173
5,asymmetric,0.9099999999999999,0.33502412790647595,0.88,0.2948212325576988
9,symmetric,0.61,0.3188112493094216,0.9222222222222223,0.29401481880757774
16,0.9099999999999999,0.31,0.32642204642530315,0.9,0.29377984178277283
10,0.61,0.61,0.31586091677505823,0.93,0.2937506526008042
11,0.61,0.9099999999999999,0.3428207227467187,0.8545454545454545,0.292955890347196
14,asymmetric,0.9099999999999999,0.379692158499584,0.7714285714285715,0.29290537941396483
9,0.31,0.61,0.31748648366030974,0.9222222222222223,0.29279309048673013
16,0.61,0.31,0.32525092931574967,0.9,0.2927258363841747
14,asymmetric,0.31,0.32251665502458726,0.9071428571428571,0.2925686799151613
8,0.01,0.61,0.32907492238656555,0.8875,0.29205399361807693
4,0.9099999999999999,0.9099999999999999,0.31571291840580623,0.925,0.2920344495253708
10,0.31,0.61,0.30664171404677537,0.95,0.2913096283444366
10,0.9099999999999999,0.61,0.31232640946791257,0.93,0.2904635608051587
4,symmetric,0.9099999999999999,0.3140039627009913,0.925,0.29045366549841695
4,0.31,0.9099999999999999,0.3140039627009913,0.925,0.29045366549841695
4,0.61,0.9099999999999999,0.3135193373458227,0.925,0.29000538704488604
12,0.61,0.9099999999999999,0.3624592898128181,0.8,0.2899674318502545
7,0.31,0.61,0.3217743759826009,0.9,0.2895969383843408
7,0.61,0.9099999999999999,0.31167748242407806,0.9285714285714286,0.2894148051080725
4,asymmetric,0.9099999999999999,0.3128325677966256,0.925,0.2893701252118787
7,symmetric,0.61,0.32104795497459165,0.9,0.2889431594771325
7,0.01,0.61,0.3210479549745916,0.9,0.28894315947713245
7,0.31,0.9099999999999999,0.31588891940587194,0.9142857142857143,0.28881272631394006
11,symmetric,0.61,0.30195717275066575,0.9545454545454546,0.2882318467165446
7,symmetric,0.9099999999999999,0.3150082994334667,0.9142857142857143,0.2880075880534553
7,0.01,0.9099999999999999,0.3150082994334667,0.9142857142857143,0.2880075880534553
4,0.01,0.9099999999999999,0.31101802520609656,0.925,0.28769167331563933
14,0.01,0.31,0.32120193329177393,0.8928571428571429,0.2867874404390839
16,asymmetric,0.31,0.3180994427937228,0.9,0.28628949851435054
14,0.01,0.61,0.3734771626182098,0.7642857142857142,0.2854432600010603
13,0.9099999999999999,0.9099999999999999,0.42138007839919756,0.676923076923077,0.2852418992240722
14,symmetric,0.31,0.3212756710988624,0.8857142857142857,0.2845584515447067
