Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
7,0.9099999999999999,0.31,0.3787046380008112,0.9571428571428572,0.3624744392293479
7,0.31,0.61,0.38442779082021533,0.9428571428571428,0.36246048848763157
8,0.61,0.01,0.3713991392237409,0.975,0.3621141607431474
7,asymmetric,0.61,0.3834502097568447,0.9428571428571428,0.3615387691993107
6,asymmetric,0.61,0.3735205137646512,0.9666666666666667,0.36106982997249615
7,asymmetric,symmetric,0.38285825306373217,0.9428571428571428,0.3609806386029475
7,asymmetric,0.31,0.38285825306373217,0.9428571428571428,0.3609806386029475
4,asymmetric,0.9099999999999999,0.38995729737818324,0.925,0.36071050007481953
7,0.9099999999999999,symmetric,0.37673661475959586,0.9571428571428572,0.3605907598413275
7,0.9099999999999999,0.61,0.38243695022313645,0.9428571428571428,0.3605834102103858
8,0.9099999999999999,symmetric,0.3742909536517994,0.9625,0.3602550428898569
8,0.61,symmetric,0.3742152371292324,0.9625,0.36018216573688616
8,0.01,0.01,0.37413544570808593,0.9625,0.36010536649403274
6,0.9099999999999999,symmetric,0.3790176316335789,0.95,0.3600667500518999
7,0.9099999999999999,0.9099999999999999,0.3818694035739613,0.9428571428571428,0.36004829479830636
7,0.01,0.61,0.38163206565684077,0.9428571428571428,0.35982451904787843
6,0.31,symmetric,0.37221459549794833,0.9666666666666667,0.35980744231468337
7,asymmetric,0.9099999999999999,0.3865586164980561,0.9285714285714286,0.358947286748195
6,0.9099999999999999,0.31,0.38448710021598154,0.9333333333333333,0.3588546268682494
7,symmetric,0.9099999999999999,0.38464282217431156,0.9285714285714286,0.35716833487614646
8,0.31,0.31,0.37570724296903935,0.95,0.35692188082058734
6,0.31,0.01,0.3691577649237237,0.9666666666666667,0.3568525060929329
6,0.61,symmetric,0.37543509809581105,0.95,0.3566633431910205
9,0.9099999999999999,0.01,0.37308015996440574,0.9555555555555556,0.3564988195215433
7,0.01,0.9099999999999999,0.3834952137232279,0.9285714285714286,0.3561026984572831
5,0.61,0.01,0.3786067651472099,0.94,0.3558903592383773
8,0.01,0.31,0.37461174866727015,0.95,0.3558811612339066
6,0.61,0.01,0.3809824174271068,0.9333333333333333,0.355583589598633
6,0.61,0.9099999999999999,0.3806376227540942,0.9333333333333333,0.3552617812371546
5,0.31,0.01,0.3774897776280171,0.94,0.35484039097033604
5,symmetric,0.01,0.377489777628017,0.94,0.354840390970336
8,symmetric,0.31,0.3730407071790345,0.95,0.35438867182008277
6,asymmetric,0.31,0.3729964914892839,0.95,0.35434666691481964
8,symmetric,0.01,0.3681490974848898,0.9625,0.3543435063292064
6,0.9099999999999999,0.61,0.3794808159025999,0.9333333333333333,0.3541820948424266
8,asymmetric,0.31,0.3768457299899082,0.9375,0.3532928718655389
8,0.01,symmetric,0.3616690894968001,0.975,0.3526273622593801
6,0.61,0.61,0.3844003960166942,0.9166666666666666,0.35236702968196965
5,0.01,0.01,0.37450269561215405,0.94,0.35203253387542477
4,asymmetric,0.61,0.3804239906601887,0.925,0.35189219136067457
5,0.31,symmetric,0.3742600509865796,0.94,0.3518044479273848
8,0.9099999999999999,0.01,0.3652847383247618,0.9625,0.35158656063758326
8,0.9099999999999999,0.31,0.3699976712511248,0.95,0.35149778768856854
9,0.61,0.01,0.3672848914823345,0.9555555555555556,0.3509611185275641
4,symmetric,0.9099999999999999,0.3794048189819433,0.925,0.35094945755829754
8,0.01,0.9099999999999999,0.384563833937677,0.9125,0.3509144984681303
8,0.61,0.61,0.37417922129225895,0.9375,0.35079301996149276
8,0.61,0.31,0.3741578870939623,0.9375,0.35077301915058967
5,symmetric,0.31,0.372949947184154,0.94,0.3505729503531047
