Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
8,0.01,0.31,0.39622803601026646,0.9375,0.3714637837596248
19,0.9099999999999999,0.01,0.39850190147861236,0.9315789473684211,0.37123598190375995
8,symmetric,0.01,0.3907209160351574,0.95,0.3711848702333995
7,0.61,0.31,0.3936202615110172,0.9428571428571428,0.37112767513895906
6,0.9099999999999999,0.61,0.39751474537456866,0.9333333333333333,0.37101376234959743
7,0.01,0.01,0.38718138628021814,0.9571428571428572,0.37058789829678024
7,0.61,symmetric,0.38691753292245107,0.9571428571428572,0.3703353529400603
9,0.9099999999999999,0.01,0.3870514877687562,0.9555555555555556,0.36984919942347816
8,asymmetric,0.01,0.38423409367570477,0.9625,0.3698253151628659
7,0.9099999999999999,0.31,0.39725995415143167,0.9285714285714286,0.36888424314061513
8,0.9099999999999999,0.31,0.38322112278724907,0.9625,0.3688503306827272
9,0.9099999999999999,symmetric,0.3857275000642431,0.9555555555555556,0.36858405561694346
19,asymmetric,0.61,0.39544931492017454,0.9315789473684211,0.36839225653089946
19,0.9099999999999999,symmetric,0.39484594936498585,0.9315789473684211,0.3678301738821184
7,asymmetric,0.61,0.4022807050164898,0.9142857142857143,0.3677995017293621
10,0.31,0.61,0.3751174000600394,0.98,0.3676150520588386
18,asymmetric,0.9099999999999999,0.3914457824481084,0.9388888888888889,0.3675240957429462
8,symmetric,0.9099999999999999,0.40223343391382105,0.9125,0.3670380084463617
7,0.01,symmetric,0.3834550929307469,0.9571428571428572,0.3670213032337149
6,asymmetric,0.31,0.3862413900154506,0.95,0.3669293205146781
8,symmetric,0.31,0.3907401189814587,0.9375,0.36631886154511756
10,symmetric,0.61,0.3737810195747163,0.98,0.36630539918322197
10,0.31,0.9099999999999999,0.373608734277304,0.98,0.36613655959175795
6,0.9099999999999999,symmetric,0.3922833750429016,0.9333333333333333,0.36613115004004154
6,0.9099999999999999,0.31,0.3922833750429016,0.9333333333333333,0.36613115004004154
18,0.31,0.01,0.3946267930912999,0.9277777777777778,0.36612596914581713
7,0.9099999999999999,0.01,0.38818977192818593,0.9428571428571428,0.3660074992465753
8,0.31,0.01,0.38483167789910006,0.95,0.36559009400414505
9,0.31,symmetric,0.3961231491691191,0.9222222222222223,0.3653135709004099
6,0.61,0.01,0.38453915252132526,0.95,0.36531219489525896
8,symmetric,0.61,0.40570595586006597,0.9,0.3651353602740594
10,0.61,0.61,0.37230517365961274,0.98,0.3648590701864205
7,0.01,0.61,0.39242394314105483,0.9285714285714286,0.36439366148812236
8,0.9099999999999999,0.01,0.38353768642448005,0.95,0.36436080210325605
7,0.9099999999999999,0.61,0.3984412083436995,0.9142857142857143,0.3642891047713824
7,0.31,0.61,0.391697913257193,0.9285714285714286,0.3637194908816792
6,asymmetric,0.01,0.38271687337153143,0.95,0.36358102970295486
9,0.31,0.01,0.3941991280843753,0.9222222222222223,0.36353919590003503
9,symmetric,0.31,0.3844173464686694,0.9444444444444444,0.36306082722040994
10,0.61,0.9099999999999999,0.37036207548035704,0.98,0.3629548339707499
8,0.9099999999999999,symmetric,0.381690069000582,0.95,0.3626055655505529
6,symmetric,0.31,0.38822924817114274,0.9333333333333333,0.36234729829306656
19,0.61,0.01,0.3977743165491,0.9105263157894737,0.3621839829631279
6,asymmetric,symmetric,0.38087139825178457,0.95,0.3618278283391953
18,0.9099999999999999,0.9099999999999999,0.3895851152291571,0.9277777777777778,0.3614484124626069
10,0.61,0.31,0.36875270174783953,0.98,0.3613776477128827
9,0.9099999999999999,0.31,0.3869423793377892,0.9333333333333333,0.3611462207152699
19,0.9099999999999999,0.31,0.39427074840996695,0.9157894736842105,0.3610690011754434
6,0.31,0.31,0.38679623583755046,0.9333333333333333,0.3610098201150471
19,0.61,symmetric,0.398338092813812,0.9052631578947369,0.3606007998103982
7,0.9099999999999999,0.9099999999999999,0.40060733449808394,0.9,0.3605466010482756
9,0.61,0.61,0.3862681858410146,0.9333333333333333,0.3605169734516136
17,asymmetric,0.9099999999999999,0.3829966949321684,0.9411764705882353,0.36046747758321734
8,0.31,0.61,0.39494229748518433,0.9125,0.3603848464552307
6,symmetric,symmetric,0.3791320828336861,0.95,0.3601754786920018
8,0.31,symmetric,0.384046960062781,0.9375,0.3600440250588572
8,0.61,0.9099999999999999,0.3944882509617341,0.9125,0.35997052900258236
7,0.01,0.9099999999999999,0.3936132299516341,0.9142857142857143,0.3598749530986369
6,0.61,symmetric,0.39228337504290156,0.9166666666666666,0.3595930937893264
19,asymmetric,0.9099999999999999,0.4064802575506229,0.8842105263157894,0.3594141224658139
7,asymmetric,0.9099999999999999,0.3991902592695175,0.9,0.3592712333425658
11,asymmetric,0.01,0.3724864783364051,0.9636363636363636,0.3589415154878085
18,symmetric,0.9099999999999999,0.38224053425758475,0.9388888888888889,0.35888139049739903
12,asymmetric,0.01,0.3811043119023035,0.9416666666666667,0.3588732270413358
12,0.01,0.01,0.3776951128900594,0.95,0.35881035724555643
12,symmetric,0.01,0.3776582745732904,0.95,0.35877536084462586
