Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
19,0.9099999999999999,symmetric,0.3433351075111108,0.9578947368421052,0.3288788924580114
20,0.9099999999999999,0.01,0.34638950659579426,0.945,0.3273380837330256
20,0.9099999999999999,symmetric,0.3450471783048233,0.945,0.326069583498058
20,0.31,symmetric,0.3372430607795932,0.965,0.3254395536523074
19,0.9099999999999999,0.01,0.3428603721080483,0.9368421052631579,0.3212060328170137
19,0.9099999999999999,0.31,0.3530378112843455,0.9052631578947369,0.3195921238995128
17,0.9099999999999999,0.9099999999999999,0.33319975918363404,0.9588235294117647,0.3194797690996021
20,0.61,0.01,0.33064570285867323,0.96,0.3174198747443263
19,0.9099999999999999,0.61,0.3544195075213791,0.8947368421052632,0.3171121909401813
18,asymmetric,0.61,0.3294116753353063,0.9555555555555556,0.31477115643151493
19,asymmetric,0.01,0.33107643058621017,0.9473684210526315,0.31365135529219906
20,0.9099999999999999,0.61,0.3493652648864399,0.895,0.3126819120733637
20,0.31,0.01,0.3450967725374269,0.905,0.31231257914637134
5,asymmetric,0.9099999999999999,0.3253185256208828,0.96,0.31230578459604746
9,0.61,symmetric,0.32120533210902547,0.9666666666666667,0.3104984877053913
9,0.61,0.01,0.32471593782406516,0.9555555555555556,0.31028411836521785
20,0.9099999999999999,0.31,0.34189847256234696,0.905,0.309418117668924
20,asymmetric,0.01,0.3305208071780783,0.935,0.3090369547115032
20,asymmetric,symmetric,0.3265675624071488,0.945,0.3086063464747556
18,symmetric,0.9099999999999999,0.3332768188532832,0.9222222222222223,0.30735528849802785
18,0.61,symmetric,0.31783489437599194,0.9666666666666667,0.3072403978967922
5,asymmetric,0.01,0.31302766394392795,0.98,0.30676711066504936
18,asymmetric,0.01,0.32266162997751513,0.95,0.30652854847863936
5,asymmetric,symmetric,0.3192109875823241,0.96,0.3064425480790311
18,asymmetric,0.9099999999999999,0.33184421205303544,0.9222222222222223,0.3060341066711327
19,symmetric,0.9099999999999999,0.33030247149311237,0.9263157894736842,0.30596439464625147
18,0.9099999999999999,symmetric,0.32014365454398797,0.9555555555555556,0.3059150476753663
19,0.01,0.9099999999999999,0.32963398391027493,0.9263157894736842,0.30534516404320206
19,0.01,0.01,0.32354689278504567,0.9421052631578948,0.3048152305711746
9,symmetric,0.61,0.3292674957804105,0.9222222222222223,0.30365780166415635
17,0.9099999999999999,symmetric,0.31666822408494083,0.9588235294117647,0.30362894426967857
5,0.61,0.01,0.30923790073098767,0.98,0.3030531427163679
9,0.31,0.01,0.32064636127208945,0.9444444444444444,0.30283267453475116
