Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
16,0.9099999999999999,symmetric,0.3346429126931416,0.93125,0.3116362124454881
5,0.9099999999999999,0.01,0.31732846218355987,0.98,0.31098189293988865
5,0.9099999999999999,symmetric,0.3142599193442114,0.98,0.30797472095732714
4,asymmetric,0.9099999999999999,0.3234988415842488,0.95,0.30732389950503636
10,asymmetric,symmetric,0.3337258552010099,0.92,0.3070277867849291
14,0.01,0.9099999999999999,0.33202197838108,0.9214285714285714,0.3059345372225665
19,0.9099999999999999,0.31,0.32588157210365987,0.9368421052631579,0.3052995780760603
19,0.31,symmetric,0.3257668505205312,0.9368421052631579,0.30519210206660297
14,0.01,0.61,0.33240496152504456,0.9142857142857143,0.3039131076800407
6,asymmetric,0.61,0.32528266092738817,0.9333333333333333,0.3035971501988956
4,asymmetric,0.01,0.31908289139623025,0.95,0.3031287468264187
4,0.61,0.9099999999999999,0.31811071590759255,0.95,0.3022051801122129
19,0.61,0.01,0.32618057008775775,0.9263157894736842,0.3021462122918177
14,asymmetric,symmetric,0.3302708394945225,0.9142857142857143,0.301961910394992
14,symmetric,symmetric,0.3302245146315017,0.9142857142857143,0.30191955623451583
14,symmetric,0.9099999999999999,0.33019173209161007,0.9142857142857143,0.3018895836266149
14,0.31,0.9099999999999999,0.324932267158332,0.9285714285714286,0.30172281950416546
4,0.9099999999999999,0.61,0.3174522698066311,0.95,0.3015796563162995
14,symmetric,0.61,0.33240496152504456,0.9071428571428571,0.3015387865262904
5,0.9099999999999999,0.31,0.31406544921819,0.96,0.3015028312494624
19,0.31,0.01,0.3304558697193625,0.9105263157894737,0.30088876558657746
4,asymmetric,symmetric,0.31647718973179473,0.95,0.30065333024520496
4,asymmetric,0.31,0.31647718973179473,0.95,0.30065333024520496
4,asymmetric,0.61,0.31647718973179473,0.95,0.30065333024520496
16,0.9099999999999999,0.01,0.32942391296399665,0.9125,0.30059932057964694
4,symmetric,0.01,0.3160657814948829,0.95,0.30026249242013875
7,0.9099999999999999,0.9099999999999999,0.328345524059105,0.9142857142857143,0.300201621996896
6,asymmetric,0.31,0.3273943936796813,0.9166666666666666,0.3001115275397079
4,0.31,0.01,0.3158457294230118,0.95,0.3000534429518612
5,0.31,0.01,0.30612301585616014,0.98,0.30000055553903693
13,asymmetric,0.9099999999999999,0.3332541904695721,0.9,0.2999287714226149
14,0.31,0.61,0.3254013935214161,0.9214285714285714,0.2998341411733048
13,0.31,0.9099999999999999,0.32753684118991233,0.9153846153846154,0.29982218539691974
16,0.61,0.31,0.3236938045075048,0.925,0.29941676916944193
19,0.31,0.31,0.32686196515351373,0.9157894736842105,0.2993367470353231
4,0.31,0.61,0.3150902172339243,0.95,0.29933570637222806
4,0.61,0.61,0.3150902172339243,0.95,0.29933570637222806
13,0.31,0.31,0.3240987412026222,0.9230769230769231,0.29916806880242053
5,0.61,symmetric,0.31133433929894644,0.96,0.2988809657269886
5,0.61,0.31,0.31133433929894644,0.96,0.2988809657269886
19,0.9099999999999999,symmetric,0.3242750296775178,0.9210526315789473,0.298674369439819
19,0.61,symmetric,0.32233557884938574,0.9263157894736842,0.2985845361973257
16,0.61,symmetric,0.32702149139587344,0.9125,0.2984071108987345
9,0.9099999999999999,0.9099999999999999,0.32723541432442543,0.9111111111111111,0.29814782194003203
13,0.01,0.9099999999999999,0.3338980153674194,0.8923076923076924,0.29793976755862045
4,symmetric,0.31,0.3135723650073355,0.95,0.29789374675696867
4,0.31,0.31,0.3135723650073355,0.95,0.29789374675696867
4,symmetric,symmetric,0.3135723650073355,0.95,0.29789374675696867
4,0.31,symmetric,0.3135723650073355,0.95,0.29789374675696867
5,0.31,0.61,0.31016167188512966,0.96,0.29775520500972447
